   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 threading.py:1192(is_alive)
        7    0.000    0.000    0.000    0.000 threading.py:575(is_set)
        1    0.000    0.000    0.000    0.000 tzfile.py:12(_byte_string)
        8    0.000    0.000    0.000    0.000 tzfile.py:19(_std_string)
        1    0.000    0.000    0.001    0.001 tzfile.py:24(build_tzinfo)
        1    0.000    0.000    0.000    0.000 tzfile.py:41(<listcomp>)
       16    0.000    0.000    0.000    0.000 tzinfo.py:18(memorized_timedelta)
      8/1    0.000    0.000    0.000    0.000 tzinfo.py:182(__init__)
        5    0.000    0.000    0.000    0.000 tzinfo.py:196(fromutc)
      121    0.000    0.000    0.000    0.000 tzinfo.py:32(memorized_datetime)
        5    0.000    0.000    0.000    0.000 tzinfo.py:430(dst)
      122    0.000    0.000    0.000    0.000 tzinfo.py:47(memorized_ttinfo)
       14    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x93e380}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
     24/7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        5    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_right}
        3    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      175    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        9    0.457    0.051    0.457    0.051 {built-in method _imp.create_dynamic}
      9/6    0.003    0.000    0.158    0.026 {built-in method _imp.exec_dynamic}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      175    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        2    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       34    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       13    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.463    0.463 {built-in method builtins.__import__}
       73    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      4/1    0.000    0.000 6487.210 6487.210 {built-in method builtins.exec}
200000090  138.593    0.000  138.593    0.000 {built-in method builtins.getattr}
       52    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     2497    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
400000652   51.058    0.000   51.058    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.max}
199999992   46.910    0.000   46.910    0.000 {built-in method builtins.min}
       11    0.000    0.000    0.001    0.000 {built-in method builtins.print}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       10    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.021    0.007    0.021    0.007 {built-in method io.open_code}
      602    0.083    0.000    0.083    0.000 {built-in method io.open}
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        5    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
        5   44.249    8.850   44.249    8.850 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
199999992   85.919    0.000   85.919    0.000 {built-in method numpy.empty}
        6    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
     1246    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        3    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       22    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      644    0.100    0.000    0.100    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        7    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        5    0.000    0.000    0.000    0.000 {function UTC.fromutc at 0x7f1771834a40}
        7    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {method '__contains__' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       22    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       34    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        7    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      603    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        5    0.000    0.000    4.149    0.830 {method 'any' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
200000157   27.918    0.000   27.918    0.000 {method 'append' of 'list' objects}
        5    0.179    0.036    0.179    0.036 {method 'argmin' of 'numpy.ndarray' objects}
        4   28.664    7.166   28.664    7.166 {method 'argsort' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 {method 'astimezone' of 'datetime.datetime' objects}
        5    2.099    0.420    2.099    0.420 {method 'astype' of 'numpy.ndarray' objects}
      598    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
        4    0.003    0.001    0.003    0.001 {method 'close' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     1201    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
     1807    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.028    0.007 {method 'extend' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       45    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        7    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
199999998   26.211    0.000   26.211    0.000 {method 'items' of 'dict' objects}
       88    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
